,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13
149,0.169,0.123,-0.079,-0.066,-0.256,0.148,0.205,-0.209,-0.286,0.209,0.202,0.222,-0.053
150,0.152,-0.131,-0.028,-0.268,0.006,0.147,0.126,-0.177,-0.181,0.163,-0.13,0.16,-0.171
151,0.143,-0.038,0.063,-0.092,-0.312,0.116,0.042,-0.112,-0.191,0.142,0.132,-0.103,-0.104
152,0.176,0.082,-0.006,-0.155,-0.16,0.159,0.22,0.039,-0.145,0.106,-0.925,-0.213,-0.115
153,0.196,-0.123,-0.1,-0.149,0.044,0.128,0.24,0.204,-0.147,0.152,0.136,-0.185,-0.1
154,0.187,-0.078,-0.004,-0.138,-0.311,0.165,0.166,0.209,-0.182,0.148,-0.909,-0.175,0.115
155,0.2,0.118,0.086,-0.15,-0.204,0.156,0.13,0.136,-0.153,0.121,-0.363,-0.175,0.102
156,0.221,-0.049,-0.045,-0.142,0.037,-0.108,-0.388,0.146,-0.292,0.173,0.195,-0.22,0.122
157,0.299,-0.142,0.005,-0.127,-0.197,-0.091,-0.05,0.183,-0.147,0.135,-0.918,-0.261,0.221
158,0.239,0.05,0.044,-0.172,-0.136,-0.118,-0.078,0.164,-0.216,0.133,0.114,-0.197,0.152
159,0.212,0.105,0.013,-0.158,0.047,-0.145,-0.208,0.07,-0.082,0.263,-0.85,-0.22,0.119
160,0.153,-0.114,-0.114,-0.182,-0.305,-0.198,-0.213,0.168,-0.219,0.215,-0.652,-0.202,0.155
161,0.221,0.069,0.01,-0.099,-0.061,-0.179,-0.174,0.155,-0.288,0.1,0.141,-0.186,0.148
162,0.237,0.038,0.027,-0.111,0.013,-0.225,-0.167,0.126,-0.189,0.118,-0.954,-0.249,0.208
163,0.136,-0.096,-0.011,-0.196,-0.254,-0.194,-0.176,0.191,-0.132,0.165,0.081,-0.197,0.175
164,0.134,-0.018,-0.082,-0.135,-0.078,-0.199,-0.173,0.151,-0.173,0.131,-0.808,-0.176,0.183
165,0.267,0.069,0.058,-0.179,0.031,-0.114,-0.16,0.11,-0.116,0.181,-0.866,-0.187,0.215
166,0.281,-0.077,0.056,-0.172,-0.284,-0.1,-0.151,0.182,-0.236,0.094,0.156,-0.136,0.163
167,0.226,-0.045,-0.048,-0.193,-0.06,-0.187,-0.178,0.177,-0.162,0.174,-0.879,-0.179,0.139
168,0.248,0.108,-0.105,-0.145,-0.118,-0.179,-0.1,0.082,-0.197,0.203,0.016,-0.197,0.147
169,0.139,-0.172,0.049,-0.121,-0.267,-0.197,-0.157,0.156,-0.195,0.179,-0.185,-0.224,0.195
170,0.068,-0.062,-0.038,-0.182,-0.178,-0.156,-0.16,0.172,-0.132,0.173,-0.088,-0.157,0.119
171,-0.101,0.119,-0.069,-0.153,-0.205,-0.118,-0.086,0.207,-0.183,0.144,-0.899,-0.179,0.193
172,-0.153,-0.063,0.015,-0.173,-0.147,-0.161,-0.157,0.19,-0.067,0.18,0.079,-0.198,0.129
173,-0.205,-0.017,0.039,-0.118,-0.183,-0.176,-0.172,0.13,0.089,0.061,-0.895,-0.17,0.076
174,-0.234,0.059,-0.058,-0.225,-0.147,-0.106,-0.151,0.154,0.065,-0.054,-0.345,-0.206,0.142
175,-0.187,-0.042,-0.059,-0.095,-0.175,-0.209,-0.166,0.21,0.037,-0.171,0.299,-0.227,0.101
176,-0.213,-0.114,0.108,-0.122,-0.246,-0.128,-0.138,0.213,0.166,-0.206,-0.828,-0.18,0.157
177,-0.163,0.045,0.024,-0.017,-0.212,-0.15,-0.212,0.032,0.145,-0.161,0.032,-0.269,0.142
178,-0.225,-0.067,-0.077,0.171,-0.145,-0.118,-0.167,-0.034,0.152,-0.154,-0.893,0.147,0.115
179,-0.171,-0.135,0.03,0.221,-0.14,-0.2,-0.152,-0.194,0.134,-0.17,-0.396,0.196,0.123
