,Positive Current M1(mA),Negative Current M1(mA),Positive Current M2(mA),Negative Current M2(mA),Positive Current M3(mA),Negative Current M3(mA),Positive Current M4(mA),Negative Current M4(mA),Positive Current M5(mA),Negative Current M5(mA),Positive Current M6(mA),Negative Current M6(mA),Positive Current M7(mA),Negative Current M7(mA),Positive Current M8(mA),Negative Current M8(mA),Positive Current M9(mA),Negative Current M9(mA),Positive Current M10(mA),Negative Current M10(mA),Positive Current M11(mA),Negative Current M11(mA),Positive Current M12(mA),Negative Current M12(mA),Positive Current M13(mA),Negative Current M13(mA)
142499.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142499.75,362.0,0.0,293.0,0.0,268.0,0.0,275.0,0.0,302.0,0.0,242.0,0.0,264.0,0.0,271.0,0.0,256.0,0.0,248.0,0.0,296.0,0.0,289.0,0.0,251.0,0.0
166249.875,0.0,-346.0,0.0,-317.0,0.0,-266.0,0.0,-235.0,0.0,-270.0,0.0,-248.0,0.0,-234.0,0.0,-273.0,0.0,-265.0,0.0,-262.0,0.0,-263.0,0.0,-293.0,0.0,-278.0
166249.875,0.0,-194.0,0.0,-251.0,0.0,-219.0,0.0,-219.0,0.0,-200.0,0.0,-201.0,0.0,-232.0,0.0,-204.0,0.0,-184.0,0.0,-201.0,0.0,-233.0,0.0,-230.0,0.0,-201.0
166249.875,0.0,-220.0,0.0,-238.0,0.0,-228.0,0.0,-246.0,0.0,-205.0,0.0,-223.0,0.0,-225.0,0.0,-197.0,0.0,-182.0,0.0,-199.0,0.0,-251.0,0.0,-232.0,0.0,-182.0
166249.875,71.0,-251.0,101.0,-319.0,27.0,-376.0,197.0,-481.0,228.0,-324.0,335.0,-469.0,322.0,-479.0,449.0,-185.0,412.0,-211.0,56.0,-186.0,42.0,-222.0,137.0,-200.0,303.0,-212.0
166249.875,168.0,-64.0,297.0,-157.0,176.0,-2.0,157.0,-379.0,178.0,0.0,129.0,-158.0,205.0,-157.0,195.0,-204.0,389.0,0.0,160.0,-53.0,179.0,0.0,198.0,0.0,206.0,-78.0
166249.875,197.0,0.0,198.0,0.0,158.0,0.0,130.0,0.0,141.0,0.0,152.0,0.0,196.0,0.0,154.0,0.0,192.0,-5.0,153.0,0.0,129.0,0.0,173.0,0.0,161.0,0.0
166249.875,198.0,0.0,203.0,0.0,172.0,0.0,163.0,0.0,161.0,0.0,185.0,0.0,178.0,0.0,213.0,0.0,169.0,0.0,155.0,0.0,190.0,0.0,212.0,0.0,192.0,0.0
166249.875,343.0,0.0,265.0,0.0,248.0,0.0,278.0,0.0,269.0,0.0,282.0,0.0,284.0,0.0,265.0,0.0,266.0,0.0,254.0,0.0,280.0,0.0,313.0,0.0,270.0,0.0
